,VendorID,tpep_pickup_datetime,tpep_dropoff_datetime,passenger_count,trip_distance,pickup_longitude,pickup_latitude,RateCodeID,store_and_fwd_flag,dropoff_longitude,dropoff_latitude,payment_type,fare_amount,extra,mta_tax,tip_amount,tolls_amount,improvement_surcharge,total_amount
79,2,2015-01-15 14:00:41,2015-01-15 14:13:48,1,3.0,-73.9642715454,40.773021698,1,N,-73.9657745361,40.8046684265,2,12.0,0.0,0.5,0.0,0.0,0.3,12.8
80,2,2015-01-15 14:00:42,2015-01-15 14:05:01,1,0.67,-73.9709320068,40.7959213257,1,N,-73.9701690674,40.7891235352,1,5.0,0.0,0.5,1.0,0.0,0.3,6.8
81,2,2015-01-15 14:00:42,2015-01-15 14:20:40,1,1.51,-73.9721221924,40.7590293884,1,N,-73.9909362793,40.7557373047,1,13.0,0.0,0.5,2.6,0.0,0.3,16.4
82,2,2015-01-15 14:00:42,2015-01-15 14:05:16,2,0.85,-73.9805679321,40.7656517029,1,N,-73.9730453491,40.7582702637,2,5.5,0.0,0.5,0.0,0.0,0.3,6.3
83,2,2015-01-15 14:00:43,2015-01-15 14:58:40,1,15.2,-73.8012619019,40.6677284241,2,N,-73.9933547974,40.7560005188,1,52.0,0.0,0.5,14.33,5.33,0.3,72.46
84,2,2015-01-15 14:00:43,2015-01-15 14:41:50,3,9.96,-73.9909591675,40.7453422546,1,N,-73.9736022949,40.6324806213,2,35.5,0.0,0.5,0.0,0.0,0.3,36.3
85,2,2015-01-15 14:00:44,2015-01-15 14:04:55,1,0.76,-73.9635162354,40.7715606689,1,N,-73.9529876709,40.7724609375,1,5.0,0.0,0.5,1.0,0.0,0.3,6.8
86,2,2015-01-15 14:00:44,2015-01-15 14:04:06,1,0.38,-73.9913864136,40.7701683044,1,N,-73.9897842407,40.7747383118,2,4.0,0.0,0.5,0.0,0.0,0.3,4.8
87,2,2015-01-15 14:00:45,2015-01-15 14:05:40,2,0.63,-73.9542694092,40.7782707214,1,N,-73.9562759399,40.7840461731,1,5.0,0.0,0.5,1.0,0.0,0.3,6.8
88,2,2015-01-15 14:00:45,2015-01-15 14:39:09,1,12.63,-73.7885284424,40.6477851868,1,N,-73.9778823853,40.6896400452,1,40.0,0.0,0.5,12.0,0.0,0.3,52.8
